Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,2020-03-20,70,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-19,64,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-18,59,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-17,55,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-16,51,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-15,42,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-14,38,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-13,33,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-12,23,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-11,12,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-10,10,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-09,2,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-08,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-07,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-06,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-05,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-04,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-03,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-02,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-01,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-29,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-28,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-27,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-26,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-25,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-24,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-23,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-22,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-21,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-20,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-19,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-18,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-17,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-16,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-15,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-14,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-13,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-12,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-11,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-10,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-09,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-08,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-07,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-06,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-05,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-04,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-03,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-02,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-01,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-31,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-30,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-29,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-28,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-27,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-26,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-25,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-24,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-23,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-22,0,ALB,150,39,
,Algeria,28.0339,1.6596,2020-07-08,17348,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-07,16879,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-06,16404,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-05,15941,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-04,15500,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-03,15070,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-02,14657,DZA,2,15,
,Algeria,28.0339,1.6596,2020-07-01,14272,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-30,13907,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-29,13571,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-28,13273,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-27,12968,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-26,12685,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-25,12445,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-24,12248,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-23,12076,DZA,2,15,
