id	datestamp	timestamp	username	tweet	replies_count	retweets_count	likes_count	url	country
1241250688908382209	2020-03-21	03:30:00	pdchina	Medical supplies donated by China to help #Philippines combat #COVID19 arrived in Manila on Saturday. The medical supplies include 100,000 test kits, 10,000 personal protective equipment, 100,000 surgical masks and 10,000 N95 masks pic.twitter.com/I8pF4WS0ly	26	126	480	https://twitter.com/PDChina/status/1241250688908382209	China
1241235589346652161	2020-03-21	02:30:00	pdchina	As March embraces the season of spring, wild lilies sprout and bloom on the melting field of Nalati Grassland in NW China’s Xinjiang Uygur Autonomous Region. pic.twitter.com/GC13OFRFWs	20	74	370	https://twitter.com/PDChina/status/1241235589346652161	China
1241220490154233861	2020-03-21	01:30:00	pdchina	China's Wuhan provides hope for the rest of the world that even the most severe situation of #COVID19 can be turned around, #WHO Director-General Tedros Adhanom Ghebreyesus said in a briefing on Friday pic.twitter.com/9PRSA5XksN	37	132	460	https://twitter.com/PDChina/status/1241220490154233861	China
1241205390450110464	2020-03-21	00:30:00	pdchina	South Korea reported 147 new #COVID19 cases on Saturday, raising the total number of infections in the country to 8,799, including 102 deaths. #CoronaOutbreak pic.twitter.com/9fJAdHG72p	3	38	83	https://twitter.com/PDChina/status/1241205390450110464	China
1241199811702837248	2020-03-21	00:07:50	pdchina	US President Donald Trump declared the New York state a federal major disaster due to the rapid spread of #COVID19 on Friday. The move allows federal assistance to the state, which has the nation's largest number of confirmed #COVID19 cases. pic.twitter.com/ZRt6o1HupP	23	28	96	https://twitter.com/PDChina/status/1241199811702837248	China
1241191046031257601	2020-03-20	23:33:00	pdchina	DPRK fired two short-range ballistic missiles into the East Sea from North Pyongan province on Saturday local time, Yonhap news agency reported, citing South Korea's Joint Chiefs of Staff. (file pic) pic.twitter.com/sapEXBOcua	16	27	81	https://twitter.com/PDChina/status/1241191046031257601	China
1241181445944520704	2020-03-20	22:54:51	pdchina	"#Hubei Province reported ZERO new cases of #COVID19, 7 more deaths and 561 discharged on March 20. 

Total confirmed #COVID19 cases in #Hubei reached 67,800, including 3,139 deaths. pic.twitter.com/pM0V2lGyb9"	38	91	344	https://twitter.com/PDChina/status/1241181445944520704	China
1241175054873812993	2020-03-20	22:29:27	pdchina	"41 new cases of #COVID19 reported on Chinese mainland on Friday, all of which were imported, 590 discharged and 7 more deaths. Latest figures: 
- 81,008 total confirmed cases 
- 3,255 deaths 
- 71,740 discharged pic.twitter.com/NBUCDYBmlw"	37	141	549	https://twitter.com/PDChina/status/1241175054873812993	China
1241122345755873280	2020-03-20	19:00:00	pdchina	Workers in colorful clothing sit in neat rows as they sort through a sea of red chilli #peppers at a farm in #Bangladesh. pic.twitter.com/RwfzwrgCdV	6	30	123	https://twitter.com/PDChina/status/1241122345755873280	China
1241105985420193794	2020-03-20	17:55:00	pdchina	China's internet sensation -- tumbler girl -- returns to work after months of lockdown in NW China's Xi'an. She sways like the wind and dances with charm, as usual; yet the once bustling street full of audience is now eerily quiet. pic.twitter.com/yo5mIvJieK	21	76	393	https://twitter.com/PDChina/status/1241105985420193794	China
1241098435937394691	2020-03-20	17:25:00	pdchina	A total of 627 people died from the novel #coronavirus in #Italy in the past 24 hours, the #highest single-day death, bringing the country's #COVID_19 death toll to 4,032, according to information released Friday by public health officials #CoronavirusPandemic pic.twitter.com/IynBMQCurX	21	89	121	https://twitter.com/PDChina/status/1241098435937394691	China
